ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
22890,69,2017,34999,22906,145,52.29999924,3,4,1,Merc
22891,31,2018,27099,17762,145,58.90000153,2,4,1,Merc
22892,13,2017,15789,19572,125,53.29999924,1.600000024,4,5,Merc
22893,25,2017,25999,2883,145,42.20000076,2,4,5,Merc
22894,25,2016,18999,28500,20,64.19999695,2.099999905,4,1,Merc
22895,13,2017,15999,7000,145,55.40000153,1.600000024,4,5,Merc
22896,13,2016,14499,26544,125,53.29999924,1.600000024,4,5,Merc
22897,13,2016,14999,12891,125,53.29999924,1.600000024,4,5,Merc
22898,25,2016,19799,21086,30,64.19999695,2.099999905,4,1,Merc
22899,13,2019,19999,8760,150,28.5,1.299999952,4,5,Merc
22900,25,2019,26399,7645,145,47.09999847,1.5,4,5,Merc
22901,25,2019,28999,14366,145,57.70000076,2,4,1,Merc
22902,25,2019,21899,2000,145,64.19999695,1.600000024,4,1,Merc
22903,31,2019,33149,5237,145,70.59999847,2,4,1,Merc
22904,31,2019,25299,8470,145,72.40000153,2,4,1,Merc
22905,31,2019,24749,14218,145,72.40000153,2,4,1,Merc
22906,25,2019,20299,14316,145,46.29999924,1.5,4,5,Merc
22907,25,2019,25499,8960,145,46.29999924,1.5,4,5,Merc
22908,25,2019,20399,14111,145,61.40000153,2,4,1,Merc
22909,24,2019,22199,8640,145,45.59999847,1.299999952,4,5,Merc
22910,25,2019,29349,4133,145,57.70000076,2,4,1,Merc
22911,37,2019,31999,10971,145,42.20000076,2.099999905,4,1,Merc
22912,25,2019,20299,14144,145,46.29999924,1.5,4,5,Merc
22913,24,2019,26949,9148,145,54.29999924,2,4,1,Merc
22914,35,2019,24999,2611,145,64.19999695,2.099999905,4,1,Merc
22915,31,2019,33719,1000,145,70.59999847,2,4,1,Merc
22916,25,2016,19799,38500,125,52.29999924,2,4,5,Merc
22917,31,2016,21999,41090,235,37.70000076,3.5,4,5,Merc
22918,13,2020,41729,1000,145,32.79999924,2,4,5,Merc
22919,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22920,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22921,25,2019,25749,13873,145,61.40000153,2,4,1,Merc
22922,25,2019,25749,13789,145,61.40000153,2,4,1,Merc
22923,13,2019,19549,10180,145,68.90000153,1.5,4,1,Merc
22924,25,2016,17149,38395,30,64.19999695,2.099999905,4,1,Merc
22925,31,2018,28849,1746,145,57.70000076,2,4,1,Merc
22926,25,2019,42049,6071,145,30.39999962,3,4,5,Merc
22927,13,2019,23509,1000,145,67.30000305,1.5,4,1,Merc
22928,31,2018,41699,6910,145,33.59999847,3,4,5,Merc
22929,31,2016,19799,19198,20,72.40000153,2,4,1,Merc
22930,25,2019,29699,2228,145,42.20000076,1.600000024,4,5,Merc
22931,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
